"postal_code","geographic_unit_name","geographic_unit_fips","results","county_fips"
"KS","Shawnee","20177",76508,"20177"
"KS","Sheridan","20179",1342,"20179"
"KS","Sherman","20181",2623,"20181"
"KS","Smith","20183",2023,"20183"
"KS","Stafford","20185",1839,"20185"
"KS","Stanton","20187",759,"20187"
"KS","Stevens","20189",2034,"20189"
"KS","Sumner","20191",9141,"20191"
"KS","Thomas","20193",3474,"20193"
"KS","Trego","20195",1579,"20195"
"KS","Wabaunsee","20197",3267,"20197"
"KS","Wallace","20199",798,"20199"
"KS","Washington","20201",2889,"20201"
"KS","Wichita","20203",987,"20203"
"KS","Wilson","20205",3717,"20205"
"KS","Woodson","20207",1447,"20207"
"KS","Wyandotte","20209",50738,"20209"
"KY","Adair","21001",7600,"21001"
"KY","Allen","21003",7100,"21003"
"KY","Anderson","21005",10320,"21005"
"KY","Ballard","21007",3895,"21007"
"KY","Barren","21009",16568,"21009"
"KY","Bath","21011",4122,"21011"
"KY","Bell","21013",9482,"21013"
"KY","Boone","21015",52511,"21015"
"KY","Bourbon","21017",7923,"21017"
"KY","Boyd","21019",19049,"21019"
"KY","Boyle","21021",12373,"21021"
"KY","Bracken","21023",3232,"21023"
"KY","Breathitt","21025",5008,"21025"
"KY","Breckinridge","21027",7969,"21027"
"KY","Bullitt","21029",31779,"21029"
"KY","Butler","21031",5060,"21031"
"KY","Caldwell","21033",5860,"21033"
"KY","Calloway","21035",15072,"21035"
"KY","Campbell","21037",40177,"21037"
"KY","Carlisle","21039",2619,"21039"
"KY","Carroll","21041",3680,"21041"
"KY","Carter","21043",8908,"21043"
"KY","Casey","21045",6091,"21045"
"KY","Christian","21047",21955,"21047"
"KY","Clark","21049",15416,"21049"
"KY","Clay","21051",7383,"21051"
"KY","Clinton","21053",4393,"21053"
"KY","Crittenden","21055",3854,"21055"
"KY","Cumberland","21057",2854,"21057"
"KY","Daviess","21059",42087,"21059"
"KY","Edmonson","21061",4668,"21061"
"KY","Elliott","21063",2399,"21063"
"KY","Estill","21065",5184,"21065"
"KY","Fayette","21067",125866,"21067"
"KY","Fleming","21069",5782,"21069"
"KY","Floyd","21071",14890,"21071"
"KY","Franklin","21073",23337,"21073"
"KY","Fulton","21075",2481,"21075"
"KY","Gallatin","21077",3061,"21077"
"KY","Garrard","21079",7077,"21079"
"KY","Grant","21081",8608,"21081"
"KY","Graves","21083",15503,"21083"
"KY","Grayson","21085",9271,"21085"
"KY","Green","21087",4856,"21087"
"KY","Greenup","21089",15168,"21089"
"KY","Hancock","21091",4134,"21091"
"KY","Hardin","21093",39218,"21093"
"KY","Harlan","21095",10657,"21095"
"KY","Harrison","21097",7163,"21097"
"KY","Hart","21099",6622,"21099"
"KY","Henderson","21101",18622,"21101"
"KY","Henry","21103",6590,"21103"
"KY","Hickman","21105",2139,"21105"
"KY","Hopkins","21107",19767,"21107"
"KY","Jackson","21109",5061,"21109"
"KY","Jefferson","21111",339579,"21111"
"KY","Jessamine","21113",20633,"21113"
"KY","Johnson","21115",9035,"21115"
"KY","Kenton","21117",67704,"21117"
"KY","Knott","21119",5693,"21119"
"KY","Knox","21121",11100,"21121"
"KY","Larue","21123",5764,"21123"
"KY","Laurel","21125",22408,"21125"
"KY","Lawrence","21127",5592,"21127"
"KY","Lee","21129",2623,"21129"
"KY","Leslie","21131",4950,"21131"
"KY","Letcher","21133",8758,"21133"
"KY","Lewis","21135",4769,"21135"
"KY","Lincoln","21137",9152,"21137"
"KY","Livingston","21139",4511,"21139"
"KY","Logan","21141",10510,"21141"
"KY","Lyon","21143",3839,"21143"
"KY","McCracken","21145",30551,"21145"
"KY","McCreary","21147",5707,"21147"
"KY","McLean","21149",4200,"21149"
"KY","Madison","21151",33322,"21151"
"KY","Magoffin","21153",4906,"21153"
"KY","Marion","21155",7318,"21155"
"KY","Marshall","21157",15719,"21157"
"KY","Martin","21159",3824,"21159"
"KY","Mason","21161",6881,"21161"
"KY","Meade","21163",10916,"21163"
"KY","Menifee","21165",2598,"21165"
"KY","Mercer","21167",9939,"21167"
"KY","Metcalfe","21169",4184,"21169"
"KY","Monroe","21171",4746,"21171"
